id,geo_lat,geo_lon,lat,long,crash_count
35,39.76444059157726,-105.00645753873509,39.76444059157726,-105.00645753873509,2
36,39.76565076381565,-105.00645344467183,39.76565076381565,-105.00645344467183,3
37,39.76685628567768,-105.0064577772172,39.76685628567768,-105.0064577772172,1
38,39.76738517754211,-105.00645901439394,39.76738517754211,-105.00645901439394,1
39,39.768062059800094,-105.00645699924749,39.768062059800094,-105.00645699924749,7
40,39.769293260912754,-105.006467855351,39.769293260912754,-105.006467855351,96
41,39.76928932710426,-105.005366726852,39.76928932710426,-105.005366726852,15
42,39.77053170212778,-105.00645471719922,39.77053170212778,-105.00645471719922,0
43,39.771739201277455,-105.00645229422388,39.771739201277455,-105.00645229422388,11
44,39.77298698085316,-105.00645315485723,39.77298698085316,-105.00645315485723,3
45,39.77421689964544,-105.00645527546958,39.77421689964544,-105.00645527546958,6
46,39.77544756340408,-105.00645002498462,39.77544756340408,-105.00645002498462,3
47,39.776542029821016,-105.00644595596819,39.776542029821016,-105.00644595596819,15
48,39.77903626822966,-105.00645232136387,39.77903626822966,-105.00645232136387,4
49,39.78016017980555,-105.00645554770544,39.78016017980555,-105.00645554770544,73
50,39.78203814372065,-105.00644710538911,39.78203814372065,-105.00644710538911,11
51,39.78375334386847,-105.00645111726796,39.78375334386847,-105.00645111726796,164
52,39.78545862443461,-105.00643586571303,39.78545862443461,-105.00643586571303,12
53,39.786270858607715,-105.00643215100672,39.786270858607715,-105.00643215100672,4
54,39.786577118632444,-105.00814048764784,39.786577118632444,-105.00814048764784,0
55,39.78706866189822,-105.01018659500093,39.78706866189822,-105.01018659500093,0
56,39.787453777491116,-105.01023818145433,39.787453777491116,-105.01023818145433,3
57,39.787451077344976,-105.01121018394467,39.787451077344976,-105.01121018394467,0
58,39.78743710227759,-105.01238986271177,39.78743710227759,-105.01238986271177,2
59,39.78743070809555,-105.01353461879044,39.78743070809555,-105.01353461879044,1
60,39.787431924870305,-105.01471663760671,39.787431924870305,-105.01471663760671,0
61,39.78744521790409,-105.01585682440671,39.78744521790409,-105.01585682440671,4
62,39.78743692797986,-105.01700110162282,39.78743692797986,-105.01700110162282,0
63,39.78743830142271,-105.01816538273279,39.78743830142271,-105.01816538273279,1
64,39.787436242993216,-105.01932852836758,39.787436242993216,-105.01932852836758,0
65,39.78743604604747,-105.02048375803656,39.78743604604747,-105.02048375803656,2
66,39.78743871639314,-105.02165167993468,39.78743871639314,-105.02165167993468,2
67,39.78744075712096,-105.02280984340909,39.78744075712096,-105.02280984340909,3
68,39.78743293503274,-105.02396234282013,39.78743293503274,-105.02396234282013,7
69,39.78745705273132,-105.02521877535591,39.78745705273132,-105.02521877535591,84
70,39.78747724451223,-105.0275884218127,39.78747724451223,-105.0275884218127,2
71,39.78748528517835,-105.02874223915474,39.78748528517835,-105.02874223915474,0
72,39.78748358258507,-105.02990667619153,39.78748358258507,-105.02990667619153,1
73,39.787493990015484,-105.03143254957101,39.787493990015484,-105.03143254957101,1
74,39.78747953027653,-105.0322170863441,39.78747953027653,-105.0322170863441,1
75,39.787449895432815,-105.03460911735992,39.787449895432815,-105.03460911735992,31
76,39.78744197848432,-105.0357919137042,39.78744197848432,-105.0357919137042,2
77,39.78744474245819,-105.03695900949778,39.78744474245819,-105.03695900949778,1
78,39.7874370056027,-105.03810706162876,39.7874370056027,-105.03810706162876,1
79,39.78743656265784,-105.03927551704979,39.78743656265784,-105.03927551704979,2
80,39.78743586613522,-105.0404271964994,39.78743586613522,-105.0404271964994,2
81,39.78744098847525,-105.04159925791002,39.78744098847525,-105.04159925791002,1
82,39.78743831304456,-105.04275391193295,39.78743831304456,-105.04275391193295,2
83,39.78744133057393,-105.04396324915784,39.78744133057393,-105.04396324915784,7
84,39.78562443822328,-105.04395274561756,39.78562443822328,-105.04395274561756,0
85,39.783878790655805,-105.04395904809117,39.783878790655805,-105.04395904809117,5
86,39.7831885365965,-105.04396263060232,39.7831885365965,-105.04396263060232,3
87,39.78207584308399,-105.04396763270348,39.78207584308399,-105.04396763270348,1
88,39.78022483885559,-105.04399078765366,39.78022483885559,-105.04399078765366,11
89,39.77838118772822,-105.04398260105856,39.77838118772822,-105.04398260105856,4
90,39.776585847863565,-105.04398802418466,39.776585847863565,-105.04398802418466,17
91,39.77529554090092,-105.04400177733592,39.77529554090092,-105.04400177733592,1
92,39.77476263509053,-105.0440127915723,39.77476263509053,-105.0440127915723,1
93,39.77294061634813,-105.04404351734996,39.77294061634813,-105.04404351734996,4
94,39.77249146198811,-105.04403025935277,39.77249146198811,-105.04403025935277,0
95,39.77104968752806,-105.04403517822348,39.77104968752806,-105.04403517822348,5
96,39.76937202212908,-105.0440362337737,39.76937202212908,-105.0440362337737,41
97,39.76756468850071,-105.04402977737136,39.76756468850071,-105.04402977737136,3
98,39.76665560133304,-105.04403735825862,39.76665560133304,-105.04403735825862,1
99,39.7657496117969,-105.04403144037843,39.7657496117969,-105.04403144037843,4
100,39.76482580605524,-105.04402598997547,39.76482580605524,-105.04402598997547,0
101,39.76392884871359,-105.04401746820581,39.76392884871359,-105.04401746820581,8
102,39.763015898305746,-105.04402811106779,39.763015898305746,-105.04402811106779,0
103,39.76212090395296,-105.04402041166865,39.76212090395296,-105.04402041166865,17
104,39.76120823644629,-105.04401690295327,39.76120823644629,-105.04401690295327,1
105,39.76031288039841,-105.04401050051577,39.76031288039841,-105.04401050051577,7
106,39.78562112173635,-105.03928409981931,39.78562112173635,-105.03928409981931,0
107,39.783264037799036,-105.03927198282202,39.783264037799036,-105.03927198282202,0
108,39.78208750274448,-105.0392759710875,39.78208750274448,-105.0392759710875,1
109,39.77838590161048,-105.0392699436596,39.77838590161048,-105.0392699436596,1
110,39.77567858443067,-105.039306787309,39.77567858443067,-105.039306787309,0
111,39.77526954416455,-105.03932865306949,39.77526954416455,-105.03932865306949,0
112,39.77386664736948,-105.03932663038535,39.77386664736948,-105.03932663038535,2
113,39.773079251343695,-105.03932735638234,39.773079251343695,-105.03932735638234,0
114,39.77246377176957,-105.03934189839572,39.77246377176957,-105.03934189839572,0
115,39.77126577489896,-105.03934322165883,39.77126577489896,-105.03934322165883,0
116,39.76944196287453,-105.03935923709759,39.76944196287453,-105.03935923709759,8
117,39.76762893640711,-105.03934374837323,39.76762893640711,-105.03934374837323,4
118,39.76578901107697,-105.03933375995574,39.76578901107697,-105.03933375995574,3
119,39.7639669263521,-105.03933475481445,39.7639669263521,-105.03933475481445,1
120,39.76212746759918,-105.03932245335118,39.76212746759918,-105.03932245335118,6
121,39.760325452378495,-105.03932692433835,39.760325452378495,-105.03932692433835,0
122,39.759444542573455,-105.0393262933376,39.759444542573455,-105.0393262933376,1
123,39.78562353414779,-105.0345883516716,39.78562353414779,-105.0345883516716,18
124,39.78303572889719,-105.03461358605176,39.78303572889719,-105.03461358605176,9
125,39.782119654710264,-105.03461286842658,39.782119654710264,-105.03461286842658,4
126,39.781084788468775,-105.03461553918642,39.781084788468775,-105.03461553918642,4
127,39.7791409811353,-105.03462905280976,39.7791409811353,-105.03462905280976,2
128,39.77838920452578,-105.03462528219525,39.77838920452578,-105.03462528219525,0
129,39.77796562405021,-105.03462700584419,39.77796562405021,-105.03462700584419,5
130,39.77498538811972,-105.03462027377779,39.77498538811972,-105.03462027377779,1
131,39.77316143848167,-105.03462683577966,39.77316143848167,-105.03462683577966,7
132,39.77196137540048,-105.03462957526385,39.77196137540048,-105.03462957526385,0
133,39.770762187579784,-105.03464373548238,39.770762187579784,-105.03464373548238,2
134,39.76956325274809,-105.03464420924014,39.76956325274809,-105.03464420924014,64
135,39.76832551232982,-105.03465776623786,39.76832551232982,-105.03465776623786,1
136,39.7676793235245,-105.03466038136493,39.7676793235245,-105.03466038136493,5
137,39.76648481993121,-105.03464515967157,39.76648481993121,-105.03464515967157,1
138,39.765760876847345,-105.03464701999158,39.765760876847345,-105.03464701999158,2
139,39.76497104698917,-105.03463701835378,39.76497104698917,-105.03463701835378,1
140,39.7639515401367,-105.03463589037753,39.7639515401367,-105.03463589037753,4
141,39.76299524287288,-105.03462315808595,39.76299524287288,-105.03462315808595,3
142,39.76214228473493,-105.03463221072994,39.76214228473493,-105.03463221072994,25
143,39.76123485614694,-105.03462078955155,39.76123485614694,-105.03462078955155,4
144,39.76032429520983,-105.03462833204709,39.76032429520983,-105.03462833204709,8
145,39.75944169797527,-105.0346303858852,39.75944169797527,-105.0346303858852,1
146,39.78563185709938,-105.0299063646194,39.78563185709938,-105.0299063646194,1
147,39.78025750742648,-105.02991967725099,39.78025750742648,-105.02991967725099,3
148,39.779099241539946,-105.02991505515477,39.779099241539946,-105.02991505515477,1
149,39.777907737677914,-105.0299231060866,39.777907737677914,-105.0299231060866,1
150,39.77485376670588,-105.02995021083726,39.77485376670588,-105.02995021083726,3
151,39.77303285104486,-105.02996302484348,39.77303285104486,-105.02996302484348,5
152,39.77212450228195,-105.02996578731351,39.77212450228195,-105.02996578731351,1
